Bus,busmap
AL3-400,AL0 0
AL6-400,AL0 0
AL8-400,AL0 0
way/1256076415-400,AL0 0
way/1256089443-220,AL0 0
way/174609198-220,AL0 0
way/281014574-400,AL0 0
way/281014575-220,AL0 0
way/281014579-220,AL0 0
way/297775062-220,AL0 0
way/353712441-220,AL0 0
way/353712449-220,AL0 0
AT1-220,AT0 0
AT10-220,AT0 0
AT11-220,AT0 0
AT12-380,AT0 0
AT13-380,AT0 0
AT16-220,AT0 0
AT17-380,AT0 0
AT2-380,AT0 0
AT20-220,AT0 0
AT3-380,AT0 0
AT4-220,AT0 0
AT5-380,AT0 0
AT6-380,AT0 0
AT8-220,AT0 0
AT9-220,AT0 0
CZ16-400,AT0 0
HU4-400,AT0 0
way/101997887-380,AT0 0
way/1047447425-220,AT0 0
way/105065132-380,AT0 0
way/107248400-380,AT0 0
way/118060597-380,AT0 0
way/1203160522-220,AT0 0
way/134565164-380,AT0 0
way/140375658-380,AT0 0
way/145583866-220,AT0 0
way/152245073-220,AT0 0
way/162826525-380,AT0 0
way/171066516-380,AT0 0
way/180468540-220,AT0 0
way/210191809-220,AT0 0
way/24253250-400,AT0 0
way/24768685-220,AT0 0
way/27673934-380,AT0 0
way/27763479-380,AT0 0
way/27795895-380,AT0 0
way/30042006-380,AT0 0
way/30076588-220,AT0 0
way/318616912-380,AT0 0
way/38821658-380,AT0 0
way/38868243-380,AT0 0
way/50650855-220,AT0 0
way/59531071-380,AT0 0
way/603139216-220,AT0 0
way/61108302-220,AT0 0
way/636620861-380,AT0 0
way/694695942-380,AT0 0
way/727225348-380,AT0 0
way/765101679-220,AT0 0
way/81540198-380,AT0 0
way/81684898-380,AT0 0
way/83529203-220,AT0 0
way/83740194-380,AT0 0
way/83742801-380,AT0 0
way/84789829-220,AT0 0
way/852324809-220,AT0 0
way/86119428-220,AT0 0
way/88680218-220,AT0 0
way/89451551-220,AT0 0
way/89985993-220,AT0 0
way/93077882-220,AT0 0
way/943595603-380,AT0 0
way/95812231-220,AT0 0
way/96616299-380,AT0 0
BA1-220,BA0 0
BA12-220,BA0 0
BA13-400,BA0 0
BA15-400,BA0 0
BA16-220,BA0 0
BA17-220,BA0 0
BA18-220,BA0 0
BA19-220,BA0 0
BA20-220,BA0 0
BA21-220,BA0 0
BA22-220,BA0 0
BA23-220,BA0 0
BA24-400,BA0 0
BA26-220,BA0 0
BA4-400,BA0 0
BA5-400,BA0 0
BA6-220,BA0 0
way/175002028-400,BA0 0
way/222962996-400,BA0 0
way/245190169-400,BA0 0
way/251735977-220,BA0 0
way/692824732-220,BA0 0
way/79818891-220,BA0 0
way/841600752-220,BA0 0
way/89827347-400,BA0 0
BE10-380,BE0 0
BE13-220,BE0 0
BE14-380,BE0 0
BE15-380,BE0 0
BE17-220,BE0 0
BE5-380,BE0 0
BE6-380,BE0 0
BE7-380,BE0 0
BE8-380,BE0 0
BE9-380,BE0 0
relation/7578992-380,BE0 0
way/1001478336-220,BE0 0
way/103041283-220,BE0 0
way/103455240-225,BE0 0
way/114082368-220,BE0 0
way/121085952-380,BE0 0
way/124703985-380,BE0 0
way/1258230062-380,BE0 0
way/16584741-380,BE0 0
way/19783816-380,BE0 0
way/204940265-220,BE0 0
way/23136343-380,BE0 0
way/23136868-380,BE0 0
way/23151789-380,BE0 0
way/23175771-380,BE0 0
way/24552827-220,BE0 0
way/32002039-380,BE0 0
way/495688586-380,BE0 0
way/495688597-380,BE0 0
way/500788534-380,BE0 0
way/87529551-400,BE0 0
way/87763325-380,BE0 0
way/87772591-380,BE0 0
way/87772593-380,BE0 0
way/87779917-380,BE0 0
way/87807194-380,BE0 0
way/88373135-400,BE0 0
way/88799384-380,BE0 0
way/91142310-220,BE0 0
way/917345402-220,BE0 0
way/91752661-220,BE0 0
way/92007188-220,BE0 0
way/92015823-220,BE0 0
BG1-400,BG0 0
BG10-400,BG0 0
BG11-400,BG0 0
BG12-400,BG0 0
BG13-400,BG0 0
BG14-220,BG0 0
BG15-400,BG0 0
BG16-400,BG0 0
BG17-400,BG0 0
BG18-400,BG0 0
BG19-400,BG0 0
BG21-220,BG0 0
BG22-220,BG0 0
BG23-220,BG0 0
BG24-220,BG0 0
BG25-220,BG0 0
BG26-400,BG0 0
BG27-400,BG0 0
BG28-400,BG0 0
BG29-400,BG0 0
BG3-400,BG0 0
BG30-400,BG0 0
BG31-400,BG0 0
BG32-400,BG0 0
BG33-400,BG0 0
BG34-400,BG0 0
BG35-400,BG0 0
BG36-400,BG0 0
BG37-400,BG0 0
BG38-220,BG0 0
BG39-220,BG0 0
BG4-400,BG0 0
BG40-220,BG0 0
