Link,carrier,p_nom_opt,p_nom,p_nom_max,p_nom_extendable,active
BG offshore 0 co2 stored pipeline-2050,CO2 pipeline,2.299439104277285,0.0,inf,True,True
GBD offshore 0 co2 stored pipeline-2050,CO2 pipeline,390.5866063531901,0.0,inf,True,True
GBE offshore 0 co2 stored pipeline-2050,CO2 pipeline,0.6986661117297247,0.0,inf,True,True
GBE offshore 1 co2 stored pipeline-2050,CO2 pipeline,0.00047019122148010375,0.0,inf,True,True
GBF offshore 0 co2 stored pipeline-2050,CO2 pipeline,67.36714774961226,0.0,inf,True,True
GBH offshore 0 co2 stored pipeline-2050,CO2 pipeline,57.33482740860065,0.0,inf,True,True
GBL offshore 0 co2 stored pipeline-2050,CO2 pipeline,13.039633648566673,0.0,inf,True,True
GBM offshore 0 co2 stored pipeline-2050,CO2 pipeline,30.412743039148182,0.0,inf,True,True
GR5 offshore 0 co2 stored pipeline-2050,CO2 pipeline,80.7790787562162,0.0,inf,True,True
NL3 offshore 0 co2 stored pipeline-2050,CO2 pipeline,53.64843571455071,0.0,inf,True,True
NL3 offshore 1 co2 stored pipeline-2050,CO2 pipeline,0.00033339213236203714,0.0,inf,True,True
NO0A offshore 0 co2 stored pipeline-2050,CO2 pipeline,0.00018202930525096112,0.0,inf,True,True
H2 pipeline AL0 -> GR5-2050,H2 pipeline,320.254567444683,0.0,inf,True,True
H2 pipeline AL0 -> ME0-2050,H2 pipeline,314.5424577254978,0.0,inf,True,True
H2 pipeline AL0 -> MK0-2050,H2 pipeline,0.004498622521258266,0.0,inf,True,True
H2 pipeline AL0 -> XK-2050,H2 pipeline,0.005124143203263309,0.0,inf,True,True
H2 pipeline AT -> CH0-2050,H2 pipeline,0.008397522648136299,0.0,inf,True,True
H2 pipeline AT -> CZ0-2050,H2 pipeline,389.2719703475379,0.0,inf,True,True
H2 pipeline AT -> DE1-2050,H2 pipeline,0.03668090653056621,0.0,inf,True,True
H2 pipeline AT -> HU-2050,H2 pipeline,0.011025341093847639,0.0,inf,True,True
H2 pipeline AT -> SI0-2050,H2 pipeline,0.022910912201783526,0.0,inf,True,True
H2 pipeline BA -> HR-2050,H2 pipeline,275.063877490209,0.0,inf,True,True
H2 pipeline BA -> ME0-2050,H2 pipeline,449.7781211484456,0.0,inf,True,True
H2 pipeline BA -> RS-2050,H2 pipeline,0.006647295580916103,0.0,inf,True,True
H2 pipeline BE1+1 -> FRE-2050,H2 pipeline,63.25109979649047,0.0,inf,True,True
H2 pipeline BE1+1 -> GBJ-2050,H2 pipeline,2276.2446498780228,0.0,inf,True,True
H2 pipeline BE3 -> FRF-2050,H2 pipeline,0.023456032849841595,0.0,inf,True,True
H2 pipeline BE3 -> LU0-2050,H2 pipeline,0.03424829645485712,0.0,inf,True,True
H2 pipeline BG -> MK0-2050,H2 pipeline,0.008099424423648164,0.0,inf,True,True
H2 pipeline BG -> RO-2050,H2 pipeline,341.9363292609594,0.0,inf,True,True
H2 pipeline BG -> RS-2050,H2 pipeline,0.00182273816298955,0.0,inf,True,True
H2 pipeline CH0 -> DE1-2050,H2 pipeline,12.89981570291326,0.0,inf,True,True
H2 pipeline CH0 -> FRC-2050,H2 pipeline,0.0997046993487536,0.0,inf,True,True
H2 pipeline CH0 -> FRF-2050,H2 pipeline,164.76000027482718,0.0,inf,True,True
H2 pipeline CH0 -> FRK-2050,H2 pipeline,0.008832755921370198,0.0,inf,True,True
H2 pipeline CH0 -> ITC-2050,H2 pipeline,0.036359612367790284,0.0,inf,True,True
H2 pipeline CZ0 -> PL2-2050,H2 pipeline,0.045640806418795254,0.0,inf,True,True
H2 pipeline CZ0 -> PL5-2050,H2 pipeline,0.011545689958491645,0.0,inf,True,True
H2 pipeline DE1 -> DE2-2050,H2 pipeline,0.020622398883624524,0.0,inf,True,True
H2 pipeline DE1 -> DE9-2050,H2 pipeline,1.6275899482311607,0.0,inf,True,True
H2 pipeline DE1 -> DEA-2050,H2 pipeline,0.03754348406897131,0.0,inf,True,True
H2 pipeline DE1 -> DEF-2050,H2 pipeline,0.0875880355529019,0.0,inf,True,True
H2 pipeline DE2 -> DE8-2050,H2 pipeline,0.005858456255528421,0.0,inf,True,True
H2 pipeline DE2 -> DED-2050,H2 pipeline,0.005023444164932888,0.0,inf,True,True
H2 pipeline DE2 -> DEE-2050,H2 pipeline,0.016603435818573296,0.0,inf,True,True
H2 pipeline DE2 -> DEF-2050,H2 pipeline,0.04995802321474249,0.0,inf,True,True
H2 pipeline DE2 -> DEG-2050,H2 pipeline,0.01552615465974409,0.0,inf,True,True
H2 pipeline DE4 -> DEE-2050,H2 pipeline,0.005831206188314752,0.0,inf,True,True
H2 pipeline DE7 -> DE9-2050,H2 pipeline,12.4320473381574,0.0,inf,True,True
H2 pipeline DE7 -> DEA-2050,H2 pipeline,0.011871806055170133,0.0,inf,True,True
H2 pipeline DE7 -> DEG-2050,H2 pipeline,0.08397250506794553,0.0,inf,True,True
H2 pipeline DE8 -> DEE-2050,H2 pipeline,0.009236068510769836,0.0,inf,True,True
H2 pipeline DE8 -> DEF-2050,H2 pipeline,96.07312326998547,0.0,inf,True,True
H2 pipeline DE8 -> DK0-2050,H2 pipeline,1126.6555174625555,0.0,inf,True,True
H2 pipeline DE8 -> SE2-2050,H2 pipeline,143.86042532057863,0.0,inf,True,True
H2 pipeline DE9 -> DED-2050,H2 pipeline,0.036768871420172704,0.0,inf,True,True
H2 pipeline DE9 -> DEE-2050,H2 pipeline,0.07107018859488032,0.0,inf,True,True
H2 pipeline DE9 -> GBJ-2050,H2 pipeline,0.0036161843242506512,0.0,inf,True,True
H2 pipeline DEA -> DEF-2050,H2 pipeline,0.08047808123376968,0.0,inf,True,True
H2 pipeline DEA -> FRF-2050,H2 pipeline,0.008489223113401017,0.0,inf,True,True
H2 pipeline DEA -> NL2-2050,H2 pipeline,1019.0865154730399,0.0,inf,True,True
H2 pipeline DEB -> LU0-2050,H2 pipeline,0.019910108989797528,0.0,inf,True,True
H2 pipeline DED -> DEG-2050,H2 pipeline,0.007518953934363677,0.0,inf,True,True
H2 pipeline DED -> PL5-2050,H2 pipeline,0.07181177318498215,0.0,inf,True,True
H2 pipeline DEE -> DEG-2050,H2 pipeline,0.05490492483699253,0.0,inf,True,True
H2 pipeline DEF -> NO09-2050,H2 pipeline,0.0027102918566537034,0.0,inf,True,True
H2 pipeline DEF -> SE2-2050,H2 pipeline,0.004810150341891377,0.0,inf,True,True
H2 pipeline DK0 -> GBF-2050,H2 pipeline,0.004615865463610706,0.0,inf,True,True
H2 pipeline DK0 -> NL1-2050,H2 pipeline,0.027867880172024906,0.0,inf,True,True
H2 pipeline DK0 -> NO09-2050,H2 pipeline,0.0038041312824497082,0.0,inf,True,True
H2 pipeline DK0 -> SE2-2050,H2 pipeline,0.0113375510665167,0.0,inf,True,True
H2 pipeline EE0 -> FI1C-2050,H2 pipeline,66.39332918290935,0.0,inf,True,True
