Link,carrier,p_nom_opt,p_nom,p_nom_max,p_nom_extendable,active
BG offshore 0 co2 stored pipeline-2030,CO2 pipeline,18.26495409462961,0.0,inf,True,True
GBD offshore 0 co2 stored pipeline-2030,CO2 pipeline,4481.73550392141,0.0,inf,True,True
GBE offshore 0 co2 stored pipeline-2030,CO2 pipeline,0.000540611808408742,0.0,inf,True,True
GBE offshore 1 co2 stored pipeline-2030,CO2 pipeline,206.2571153202957,0.0,inf,True,True
GBF offshore 0 co2 stored pipeline-2030,CO2 pipeline,711.9884628897958,0.0,inf,True,True
GBH offshore 0 co2 stored pipeline-2030,CO2 pipeline,112.49714891785601,0.0,inf,True,True
GBL offshore 0 co2 stored pipeline-2030,CO2 pipeline,0.007713492516317629,0.0,inf,True,True
GBM offshore 0 co2 stored pipeline-2030,CO2 pipeline,78.22171912844411,0.0,inf,True,True
GR5 offshore 0 co2 stored pipeline-2030,CO2 pipeline,65.83246226519796,0.0,inf,True,True
NL3 offshore 0 co2 stored pipeline-2030,CO2 pipeline,44.74947535130758,0.0,inf,True,True
NL3 offshore 1 co2 stored pipeline-2030,CO2 pipeline,16.360862206585544,0.0,inf,True,True
NO0A offshore 0 co2 stored pipeline-2030,CO2 pipeline,0.00040588537017175906,0.0,inf,True,True
