Link,carrier,p_nom_opt,p_nom,p_nom_max,p_nom_extendable,active
BG offshore 0 co2 stored pipeline-2040,CO2 pipeline,21.204430835333085,0.0,inf,True,True
GBD offshore 0 co2 stored pipeline-2040,CO2 pipeline,4817.891559478497,0.0,inf,True,True
GBE offshore 0 co2 stored pipeline-2040,CO2 pipeline,636.4389596053453,0.0,inf,True,True
GBE offshore 1 co2 stored pipeline-2040,CO2 pipeline,695.1559985214329,0.0,inf,True,True
GBF offshore 0 co2 stored pipeline-2040,CO2 pipeline,1540.006423643848,0.0,inf,True,True
GBH offshore 0 co2 stored pipeline-2040,CO2 pipeline,12106.997472594046,0.0,inf,True,True
GBL offshore 0 co2 stored pipeline-2040,CO2 pipeline,95.54606238677614,0.0,inf,True,True
GBM offshore 0 co2 stored pipeline-2040,CO2 pipeline,12866.396725154502,0.0,inf,True,True
GR5 offshore 0 co2 stored pipeline-2040,CO2 pipeline,197.50201302074726,0.0,inf,True,True
NL3 offshore 0 co2 stored pipeline-2040,CO2 pipeline,0.012088039019326096,0.0,inf,True,True
NL3 offshore 1 co2 stored pipeline-2040,CO2 pipeline,16.36142371723934,0.0,inf,True,True
NO0A offshore 0 co2 stored pipeline-2040,CO2 pipeline,410.145049675242,0.0,inf,True,True
H2 pipeline AL0 -> GR5-2040,H2 pipeline,19.633787744382914,0.0,inf,True,True
H2 pipeline AL0 -> ME0-2040,H2 pipeline,15.096617990340047,0.0,inf,True,True
H2 pipeline AL0 -> MK0-2040,H2 pipeline,0.06281187803431915,0.0,inf,True,True
H2 pipeline AL0 -> XK-2040,H2 pipeline,0.06116215972954394,0.0,inf,True,True
H2 pipeline AT -> CH0-2040,H2 pipeline,0.04579137451833664,0.0,inf,True,True
H2 pipeline AT -> CZ0-2040,H2 pipeline,0.056713362054880916,0.0,inf,True,True
H2 pipeline AT -> DE1-2040,H2 pipeline,0.23212931431998882,0.0,inf,True,True
H2 pipeline AT -> HU-2040,H2 pipeline,0.027992762759431015,0.0,inf,True,True
H2 pipeline AT -> SI0-2040,H2 pipeline,0.15650945036892835,0.0,inf,True,True
H2 pipeline BA -> HR-2040,H2 pipeline,43.43348419012724,0.0,inf,True,True
H2 pipeline BA -> ME0-2040,H2 pipeline,0.1319408415430971,0.0,inf,True,True
H2 pipeline BA -> RS-2040,H2 pipeline,0.05717727183355972,0.0,inf,True,True
H2 pipeline BE1+1 -> FRE-2040,H2 pipeline,0.07418856447764882,0.0,inf,True,True
H2 pipeline BE1+1 -> GBJ-2040,H2 pipeline,7130.558390316692,0.0,inf,True,True
H2 pipeline BE3 -> FRF-2040,H2 pipeline,0.1855324106815791,0.0,inf,True,True
H2 pipeline BE3 -> LU0-2040,H2 pipeline,1.3018996527222155,0.0,inf,True,True
H2 pipeline BG -> MK0-2040,H2 pipeline,0.028149223505232964,0.0,inf,True,True
H2 pipeline BG -> RO-2040,H2 pipeline,0.26089390198889345,0.0,inf,True,True
H2 pipeline BG -> RS-2040,H2 pipeline,0.43621025214247855,0.0,inf,True,True
H2 pipeline CH0 -> DE1-2040,H2 pipeline,48.859403314585045,0.0,inf,True,True
H2 pipeline CH0 -> FRC-2040,H2 pipeline,52.06201736475463,0.0,inf,True,True
H2 pipeline CH0 -> FRF-2040,H2 pipeline,0.35416305517563845,0.0,inf,True,True
H2 pipeline CH0 -> FRK-2040,H2 pipeline,22.01462433534021,0.0,inf,True,True
H2 pipeline CH0 -> ITC-2040,H2 pipeline,9.668139076692942,0.0,inf,True,True
H2 pipeline CZ0 -> PL2-2040,H2 pipeline,0.08001720152528616,0.0,inf,True,True
H2 pipeline CZ0 -> PL5-2040,H2 pipeline,0.06432706835900558,0.0,inf,True,True
H2 pipeline DE1 -> DE2-2040,H2 pipeline,1297.987094378444,0.0,inf,True,True
H2 pipeline DE1 -> DE9-2040,H2 pipeline,0.019538899141418258,0.0,inf,True,True
H2 pipeline DE1 -> DEA-2040,H2 pipeline,0.026449954968712365,0.0,inf,True,True
H2 pipeline DE1 -> DEF-2040,H2 pipeline,0.01422555106065461,0.0,inf,True,True
H2 pipeline DE2 -> DE8-2040,H2 pipeline,0.018602918944522744,0.0,inf,True,True
H2 pipeline DE2 -> DED-2040,H2 pipeline,0.04541927490677304,0.0,inf,True,True
H2 pipeline DE2 -> DEE-2040,H2 pipeline,0.04786306081709639,0.0,inf,True,True
H2 pipeline DE2 -> DEF-2040,H2 pipeline,0.02566959190192792,0.0,inf,True,True
H2 pipeline DE2 -> DEG-2040,H2 pipeline,0.060505299425595974,0.0,inf,True,True
H2 pipeline DE4 -> DEE-2040,H2 pipeline,0.24463630073183035,0.0,inf,True,True
H2 pipeline DE7 -> DE9-2040,H2 pipeline,0.06308243511920218,0.0,inf,True,True
H2 pipeline DE7 -> DEA-2040,H2 pipeline,0.17290884342697352,0.0,inf,True,True
H2 pipeline DE7 -> DEG-2040,H2 pipeline,0.33358438481465336,0.0,inf,True,True
H2 pipeline DE8 -> DEE-2040,H2 pipeline,0.0468795385850998,0.0,inf,True,True
H2 pipeline DE8 -> DEF-2040,H2 pipeline,2789.3247082992702,0.0,inf,True,True
H2 pipeline DE8 -> DK0-2040,H2 pipeline,2617.003817457132,0.0,inf,True,True
H2 pipeline DE8 -> SE2-2040,H2 pipeline,0.028525254905017606,0.0,inf,True,True
H2 pipeline DE9 -> DED-2040,H2 pipeline,2445.2017088743924,0.0,inf,True,True
H2 pipeline DE9 -> DEE-2040,H2 pipeline,42.80442824407316,0.0,inf,True,True
H2 pipeline DE9 -> GBJ-2040,H2 pipeline,0.028261406319372878,0.0,inf,True,True
H2 pipeline DEA -> DEF-2040,H2 pipeline,0.028887944016094957,0.0,inf,True,True
H2 pipeline DEA -> FRF-2040,H2 pipeline,0.026606564971902898,0.0,inf,True,True
H2 pipeline DEA -> NL2-2040,H2 pipeline,609.1497337251222,0.0,inf,True,True
H2 pipeline DEB -> LU0-2040,H2 pipeline,0.582195625462906,0.0,inf,True,True
H2 pipeline DED -> DEG-2040,H2 pipeline,0.1469890693098881,0.0,inf,True,True
H2 pipeline DED -> PL5-2040,H2 pipeline,224.90580506867553,0.0,inf,True,True
H2 pipeline DEE -> DEG-2040,H2 pipeline,0.1458840434142457,0.0,inf,True,True
H2 pipeline DEF -> NO09-2040,H2 pipeline,0.02418253149135071,0.0,inf,True,True
H2 pipeline DEF -> SE2-2040,H2 pipeline,0.02310757385775193,0.0,inf,True,True
