Link,carrier,p_nom_opt,p_nom,p_nom_max,p_nom_extendable,active
BG offshore 0 co2 stored pipeline-2050,CO2 pipeline,0.0003877917901744494,0.0,inf,True,True
GBD offshore 0 co2 stored pipeline-2050,CO2 pipeline,0.0005730560727629962,0.0,inf,True,True
GBE offshore 0 co2 stored pipeline-2050,CO2 pipeline,0.00012709946299312874,0.0,inf,True,True
GBE offshore 1 co2 stored pipeline-2050,CO2 pipeline,5.911217223905121,0.0,inf,True,True
GBF offshore 0 co2 stored pipeline-2050,CO2 pipeline,0.00041744679913735744,0.0,inf,True,True
GBH offshore 0 co2 stored pipeline-2050,CO2 pipeline,0.0001460156831291495,0.0,inf,True,True
GBL offshore 0 co2 stored pipeline-2050,CO2 pipeline,0.0001240589885393089,0.0,inf,True,True
GBM offshore 0 co2 stored pipeline-2050,CO2 pipeline,7.044478731460204e-05,0.0,inf,True,True
GR5 offshore 0 co2 stored pipeline-2050,CO2 pipeline,5.099254343818334e-05,0.0,inf,True,True
NL3 offshore 0 co2 stored pipeline-2050,CO2 pipeline,0.00027554199338297605,0.0,inf,True,True
NL3 offshore 1 co2 stored pipeline-2050,CO2 pipeline,6.190744439875512e-05,0.0,inf,True,True
NO0A offshore 0 co2 stored pipeline-2050,CO2 pipeline,4.948524436245249e-05,0.0,inf,True,True
PCI-10.1.3,H2 pipeline,6261.0,6261.0,inf,False,True
PCI-10.1.2,H2 pipeline,7001.0,7001.0,inf,False,True
PCI-10.4-01,H2 pipeline,6267.0,6267.0,inf,False,True
PCI-9.5-01,H2 pipeline,3805.0,3805.0,inf,False,True
PCI-9.6-01,H2 pipeline,4003.0,4003.0,inf,False,True
PCI-9.5-02,H2 pipeline,3805.0,3805.0,inf,False,True
PCI-9.4-01,H2 pipeline,3778.0,3778.0,inf,False,True
PCI-9.5-03,H2 pipeline,3805.0,3805.0,inf,False,True
PCI-10.3.1-01,H2 pipeline,3424.0,3424.0,inf,False,True
PCI-10.2.1+1,H2 pipeline,12262.0,12262.0,inf,False,True
PCI-10.2.1,H2 pipeline,5995.0,5995.0,inf,False,True
PCI-10.4-02,H2 pipeline,6267.0,6267.0,inf,False,True
PCI-9.4-02,H2 pipeline,3778.0,3778.0,inf,False,True
PCI-9.4-03,H2 pipeline,3778.0,3778.0,inf,False,True
PCI-9.2.1,H2 pipeline,507.0,507.0,inf,False,True
PCI-9.1.6-01,H2 pipeline,8057.0,8057.0,inf,False,True
PCI-10.2.2-01,H2 pipeline,10056.0,10056.0,inf,False,True
PCI-10.2.2-02,H2 pipeline,10056.0,10056.0,inf,False,True
PCI-11.2-01,H2 pipeline,8281.0,8281.0,inf,False,True
PCI-9.1.6+1-01,H2 pipeline,11835.0,11835.0,inf,False,True
PCI-11.3-01,H2 pipeline,20546.0,20546.0,inf,False,True
PCI-9.7.1+1,H2 pipeline,3532.0,3532.0,inf,False,True
PCI-9.9.1,H2 pipeline,10146.0,10146.0,inf,False,True
PCI-9.6+1-01,H2 pipeline,5297.0,5297.0,inf,False,True
PCI-9.25-01,H2 pipeline,15219.0,15219.0,inf,False,True
PCI-9.4+1,H2 pipeline,13536.0,13536.0,inf,False,True
PCI-9.7.3,H2 pipeline,9758.0,9758.0,inf,False,True
