Link,carrier,p_nom_opt,p_nom,p_nom_max,p_nom_extendable,active
BG offshore 0 co2 stored pipeline-2040,CO2 pipeline,0.011503619797149676,0.0,inf,True,True
GBD offshore 0 co2 stored pipeline-2040,CO2 pipeline,4525.0800504136505,0.0,inf,True,True
GBE offshore 0 co2 stored pipeline-2040,CO2 pipeline,636.774005257196,0.0,inf,True,True
GBE offshore 1 co2 stored pipeline-2040,CO2 pipeline,702.0934700556327,0.0,inf,True,True
GBF offshore 0 co2 stored pipeline-2040,CO2 pipeline,1430.0704970029653,0.0,inf,True,True
GBH offshore 0 co2 stored pipeline-2040,CO2 pipeline,11996.171873648811,0.0,inf,True,True
GBL offshore 0 co2 stored pipeline-2040,CO2 pipeline,94.04174700582925,0.0,inf,True,True
GBM offshore 0 co2 stored pipeline-2040,CO2 pipeline,12864.684957683508,0.0,inf,True,True
GR5 offshore 0 co2 stored pipeline-2040,CO2 pipeline,12.936133184615723,0.0,inf,True,True
NL3 offshore 0 co2 stored pipeline-2040,CO2 pipeline,30.301875161548264,0.0,inf,True,True
NL3 offshore 1 co2 stored pipeline-2040,CO2 pipeline,0.0012324421069847401,0.0,inf,True,True
NO0A offshore 0 co2 stored pipeline-2040,CO2 pipeline,410.1417709176017,0.0,inf,True,True
H2 pipeline AL0 -> GR5-2040,H2 pipeline,56.412419898040085,0.0,inf,True,True
H2 pipeline AL0 -> ME0-2040,H2 pipeline,51.838896476496615,0.0,inf,True,True
H2 pipeline AL0 -> MK0-2040,H2 pipeline,0.01790088828728575,0.0,inf,True,True
H2 pipeline AL0 -> XK-2040,H2 pipeline,0.019186197684579468,0.0,inf,True,True
H2 pipeline AT -> CH0-2040,H2 pipeline,0.031265417447070475,0.0,inf,True,True
H2 pipeline AT -> CZ0-2040,H2 pipeline,43.07490268571231,0.0,inf,True,True
H2 pipeline AT -> DE1-2040,H2 pipeline,625.1289634081062,0.0,inf,True,True
H2 pipeline AT -> HU-2040,H2 pipeline,0.02431274554450739,0.0,inf,True,True
