Link,carrier,p_nom_opt,p_nom,p_nom_max,p_nom_extendable,active
BG offshore 0 co2 stored pipeline-2040,CO2 pipeline,11.585116377040737,0.0,inf,True,True
GBD offshore 0 co2 stored pipeline-2040,CO2 pipeline,331.4734308840065,0.0,inf,True,True
GBE offshore 0 co2 stored pipeline-2040,CO2 pipeline,646.2237290060308,0.0,inf,True,True
GBE offshore 1 co2 stored pipeline-2040,CO2 pipeline,532.6134484721636,0.0,inf,True,True
GBF offshore 0 co2 stored pipeline-2040,CO2 pipeline,874.5060510762427,0.0,inf,True,True
GBH offshore 0 co2 stored pipeline-2040,CO2 pipeline,12416.019915468403,0.0,inf,True,True
GBL offshore 0 co2 stored pipeline-2040,CO2 pipeline,110.86828897870524,0.0,inf,True,True
GBM offshore 0 co2 stored pipeline-2040,CO2 pipeline,13170.504564987108,0.0,inf,True,True
GR5 offshore 0 co2 stored pipeline-2040,CO2 pipeline,102.39064292089698,0.0,inf,True,True
NL3 offshore 0 co2 stored pipeline-2040,CO2 pipeline,81.90576998227847,0.0,inf,True,True
NL3 offshore 1 co2 stored pipeline-2040,CO2 pipeline,8.328254760040975,0.0,inf,True,True
NO0A offshore 0 co2 stored pipeline-2040,CO2 pipeline,410.21367496271665,0.0,inf,True,True
BG offshore 0 co2 stored pipeline-2030,CO2 pipeline,18.26495409462961,18.26495409462961,inf,False,True
GBD offshore 0 co2 stored pipeline-2030,CO2 pipeline,4481.73550392141,4481.73550392141,inf,False,True
GBE offshore 1 co2 stored pipeline-2030,CO2 pipeline,206.2571153202957,206.2571153202957,inf,False,True
GBF offshore 0 co2 stored pipeline-2030,CO2 pipeline,711.9884628897958,711.9884628897958,inf,False,True
GBH offshore 0 co2 stored pipeline-2030,CO2 pipeline,112.49714891785601,112.49714891785601,inf,False,True
GBM offshore 0 co2 stored pipeline-2030,CO2 pipeline,78.22171912844411,78.22171912844411,inf,False,True
GR5 offshore 0 co2 stored pipeline-2030,CO2 pipeline,65.83246226519796,65.83246226519796,inf,False,True
NL3 offshore 0 co2 stored pipeline-2030,CO2 pipeline,44.74947535130758,44.74947535130758,inf,False,True
NL3 offshore 1 co2 stored pipeline-2030,CO2 pipeline,16.360862206585544,16.360862206585544,inf,False,True
