Link,carrier,p_nom_opt,p_nom,p_nom_max,p_nom_extendable,active
BG offshore 0 co2 stored pipeline-2050,CO2 pipeline,6.894792148841721,0.0,inf,True,True
GBD offshore 0 co2 stored pipeline-2050,CO2 pipeline,360.12661489916115,0.0,inf,True,True
GBE offshore 0 co2 stored pipeline-2050,CO2 pipeline,0.7844157031067488,0.0,inf,True,True
GBE offshore 1 co2 stored pipeline-2050,CO2 pipeline,0.0011727746956242797,0.0,inf,True,True
GBF offshore 0 co2 stored pipeline-2050,CO2 pipeline,0.007349202869479252,0.0,inf,True,True
GBH offshore 0 co2 stored pipeline-2050,CO2 pipeline,0.0017996393664836327,0.0,inf,True,True
GBL offshore 0 co2 stored pipeline-2050,CO2 pipeline,0.0022896886992323957,0.0,inf,True,True
GBM offshore 0 co2 stored pipeline-2050,CO2 pipeline,0.0005113876377050484,0.0,inf,True,True
GR5 offshore 0 co2 stored pipeline-2050,CO2 pipeline,0.0005450340817072479,0.0,inf,True,True
NL3 offshore 0 co2 stored pipeline-2050,CO2 pipeline,0.0026111353602321324,0.0,inf,True,True
NL3 offshore 1 co2 stored pipeline-2050,CO2 pipeline,0.0005177101062840453,0.0,inf,True,True
NO0A offshore 0 co2 stored pipeline-2050,CO2 pipeline,5.534553197020919,0.0,inf,True,True
H2 pipeline AL0 -> GR5-2050,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline AL0 -> ME0-2050,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline AL0 -> MK0-2050,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline AL0 -> XK-2050,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline AT -> CH0-2050,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline AT -> CZ0-2050,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline AT -> DE1-2050,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline AT -> HU-2050,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline AT -> SI0-2050,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline BA -> HR-2050,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline BA -> ME0-2050,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline BA -> RS-2050,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline BE1+1 -> FRE-2050,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline BE1+1 -> GBJ-2050,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline BE3 -> FRF-2050,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline BE3 -> LU0-2050,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline BG -> MK0-2050,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline BG -> RO-2050,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline BG -> RS-2050,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline CH0 -> DE1-2050,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline CH0 -> FRC-2050,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline CH0 -> FRF-2050,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline CH0 -> FRK-2050,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline CH0 -> ITC-2050,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline CZ0 -> PL2-2050,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline CZ0 -> PL5-2050,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline DE1 -> DE2-2050,H2 pipeline,2074.8295244387573,0.0,inf,True,True
H2 pipeline DE1 -> DE9-2050,H2 pipeline,0.007443796145264583,0.0,inf,True,True
H2 pipeline DE1 -> DEA-2050,H2 pipeline,0.006853684678444434,0.0,inf,True,True
H2 pipeline DE1 -> DEF-2050,H2 pipeline,0.0047737920091363096,0.0,inf,True,True
H2 pipeline DE2 -> DE8-2050,H2 pipeline,0.00856671348737086,0.0,inf,True,True
H2 pipeline DE2 -> DED-2050,H2 pipeline,13.319617807687711,0.0,inf,True,True
H2 pipeline DE2 -> DEE-2050,H2 pipeline,51.336724644946564,0.0,inf,True,True
H2 pipeline DE2 -> DEF-2050,H2 pipeline,0.015057996756859746,0.0,inf,True,True
H2 pipeline DE2 -> DEG-2050,H2 pipeline,0.077193339344489,0.0,inf,True,True
H2 pipeline DE4 -> DEE-2050,H2 pipeline,0.08659768709531568,0.0,inf,True,True
H2 pipeline DE7 -> DE9-2050,H2 pipeline,2609.7192048151983,0.0,inf,True,True
H2 pipeline DE7 -> DEA-2050,H2 pipeline,0.024932019565553673,0.0,inf,True,True
H2 pipeline DE7 -> DEG-2050,H2 pipeline,0.17209621242786446,0.0,inf,True,True
H2 pipeline DE8 -> DEE-2050,H2 pipeline,0.013618985261841727,0.0,inf,True,True
H2 pipeline DE8 -> DEF-2050,H2 pipeline,0.05327548929541255,0.0,inf,True,True
H2 pipeline DE8 -> DK0-2050,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline DE8 -> SE2-2050,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline DE9 -> DED-2050,H2 pipeline,0.24736871856697176,0.0,inf,True,True
H2 pipeline DE9 -> DEE-2050,H2 pipeline,89.20679647631997,0.0,inf,True,True
H2 pipeline DE9 -> GBJ-2050,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline DEA -> DEF-2050,H2 pipeline,0.012702602452576098,0.0,inf,True,True
H2 pipeline DEA -> FRF-2050,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline DEA -> NL2-2050,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline DEB -> LU0-2050,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline DED -> DEG-2050,H2 pipeline,0.13909746185043365,0.0,inf,True,True
H2 pipeline DED -> PL5-2050,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline DEE -> DEG-2050,H2 pipeline,0.25469251487673616,0.0,inf,True,True
H2 pipeline DEF -> NO09-2050,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline DEF -> SE2-2050,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline DK0 -> GBF-2050,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline DK0 -> NL1-2050,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline DK0 -> NO09-2050,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline DK0 -> SE2-2050,H2 pipeline,0.0,0.0,inf,False,True
