,project_status,length,build_year,underground,v_nom,tags,x0,y0,x1,y1,num_parallel,type
PCI-2.5.3,in_planning,36.0,2028,False,220,"{ ""pci_code"": ""2.5.3"", ""corridor"": ""NSI East Electricity"", ""short_title"": ""Targu Jiu (RO) to Paroseni (RO)"", ""full_title"": ""Internal line between Targu Jiu (RO) and Paroseni (RO)"", ""description"": ""<p style=\""text-align:justify\"">Reconductoring of a 220 kV AC and 38 km long single circuit OHL between Targu Jiu and Paroseni (RO) (replacement of wires). The expected capacity is 576 MW (onshore).&nbsp;<\/p>\n\n<p style=\""text-align:left\"">&nbsp;<\/p>\n"", ""countries"": ""RO"", ""promoters"": ""MAVIR Ltd (HU) ; CNTEE Transelectrica SA (RO)"", ""project_sheet"": ""Null"", ""studies_works"": ""Null"", ""object_id"": ""3212"", ""layer_name"": ""Electricity line"", ""geometry_type"": ""esriGeometryPolyline"" }",23.26619255211774,45.36504625001784,23.31856253205976,45.07369203488804,1.0,Al/St 240/40 2-bundle 220.0
PCI-3.3.10,under_construction,127.8,2025,False,330,"{ ""pci_code"": ""3.3.10"", ""corridor"": ""BEMIP Electricity"", ""short_title"": ""Internal line Darbėnai-Bitėnai (LT) "", ""full_title"": ""Internal line between Darbenai and Bitenai (LT)"", ""description"": ""<p style=\""text-align:justify\"">New 330 kV OHL Darbėnai-Bitėnai in Lithuania. The project consists of two phases:<\/p>\n\n<p style=\""text-align:justify\"">- Reconstruction of existing 330 kV line Klaipėda-Grobiņa by adding a second circuit;<\/p>\n\n<p>- Construction of 330 kV OHL Darbėnai-Bitėnai, including a bypass around the city of Klaipėda.<\/p>\n"", ""countries"": ""LT"", ""promoters"": ""LITGRID AB (LT)"", ""project_sheet"": ""https:\/\/ec.europa.eu\/info\/funding-tenders\/opportunities\/portal\/screen\/opportunities\/projects-details\/43251567\/101069633\/CEF2027"", ""studies_works"": ""WORKS"", ""object_id"": ""1016"", ""layer_name"": ""Electricity line"", ""geometry_type"": ""esriGeometryPolyline"" }",21.306485205763426,56.04232199711962,22.06389333707238,55.07545046879326,1.0,Al/St 240/40 3-bundle 300.0
PCI-2.1.3,in_planning,94.8,2029,False,220,"{ ""pci_code"": ""2.1.3"", ""corridor"": ""NSI East Electricity"", ""short_title"": ""Internal line Westtirol (AT) -Zell-Ziller (AT)"", ""full_title"": ""Internal line between Westtirol - Zell\/Ziller (AT)"", ""description"": ""<p>This project comprises an upgrade of the existing 220 kV line Westtirol (AT) - Zell-Ziller (AT) and the construction of an additional 220\/380kV transformer. The line length is of 105 km.<\/p>\n"", ""countries"": ""AT"", ""promoters"": ""Austrian Power Grid AG (AT)"", ""project_sheet"": ""Null"", ""studies_works"": ""Null"", ""object_id"": ""998"", ""layer_name"": ""Electricity line"", ""geometry_type"": ""esriGeometryPolyline"" }",11.897573016746405,47.233710843515205,10.719995999767065,47.2117079994685,1.0,Al/St 240/40 2-bundle 220.0
PCI-2.9-03,under_construction,20.3,2026,False,380,"{ ""pci_code"": ""2.9"", ""corridor"": ""NSI East Electricity"", ""short_title"": ""Hydro-pumped storage Amfilochia "", ""full_title"": ""Hydro-pumped storage in Amfilochia (EL)"", ""description"": ""<p style=\""text-align:justify\""><!--StartFragment --><\/p>\n\n<p style=\""text-align: justify;\"">The project of hydro pumped storage system in Amfilochia, is an energy storage facility that utilizes the potential energy of water to store and generate electricity. The system consists of two main components: the independent upper reservoirs of Ag. Georgios and Pyrgos respectively, while the existing Kastraki lake will serve as the lower reservoir (Owned by the Public Power Corporation).<\/p>\n\n<p style=\""text-align: justify;\"">A single Powerhouse, located on the right bank of the Kastraki lake will house the electromechanical equipment. With a total installed capacity is 680 MW for production and 730 MW for pumping, the system will provide a storage capacity of 4.88 GWh and a net annual generation of 816 GWh.<\/p>\n\n<p style=\""text-align:justify\""><!--EndFragment --><\/p>\n"", ""countries"": ""EL"", ""promoters"": ""TERNA ENERGY S.A (EL)"", ""project_sheet"": ""https:\/\/ec.europa.eu\/assets\/cinea\/project_fiches\/cef\/cef_energy\/3.24-0013-EL-S-M-14.pdf"", ""studies_works"": ""Studies"", ""object_id"": ""1601"", ""layer_name"": ""Electricity line"", ""geometry_type"": ""esriGeometryPolyline"" }",21.42122241762974,38.71953145414781,21.447059617202846,38.87314751173979,1.0,Al/St 490/64 4-bundle 380.0
PCI-3.3.11-02,in_permitting,0.1,2026,False,400,"{ ""pci_code"": ""3.3.11"", ""corridor"": ""BEMIP Electricity"", ""short_title"": ""Internal line Dunowo-Żydowo Kierzkowo (PL) "", ""full_title"": ""Internal line between Dunowo and Żydowo Kierzkowo (PL)"", ""description"": ""<p style=\""text-align:justify\"">The Dunowo-Żydowo Kierzkowo 400 kV line is interrelated with the project aiming to build the Piła Krzewina-Żydowo&nbsp;Kierzkowo line.<\/p>\n\n<p style=\""text-align:justify\"">The Dunowo-Żydowo Kierzkowo 400 kV project includes:<\/p>\n\n<p style=\""text-align:justify\"">-The reconstruction of Dunowo electrical station with installation of 400\/110 kV transformers and,<\/p>\n\n<p style=\""text-align:justify\"">-The construction of new double-circuit 400 kV line.<\/p>\n\n<p style=\""text-align:justify\"">The lines Dunowo-Żydowo Kierzkowo 400 kV and Piła Krzewina-Żydowo&nbsp;Kierzkowo 400 kV will be connected to each other.<\/p>\n"", ""countries"": ""PL"", ""promoters"": ""PSE S.A. (PL) "", ""project_sheet"": ""https:\/\/ec.europa.eu\/assets\/cinea\/project_fiches\/cef\/cef_energy\/4.8.10-0005-LVEE-W-M-20.pdf"", ""studies_works"": ""Works"", ""object_id"": ""2561"", ""layer_name"": ""Electricity line"", ""geometry_type"": ""esriGeometryPolyline"" }",16.093764464185405,54.12457010915432,16.09483479786328,54.125418678663344,2.0,Al/St 490/64 4-bundle 380.0
PCI-3.3.11-03,in_permitting,0.1,2026,False,400,"{ ""pci_code"": ""3.3.11"", ""corridor"": ""BEMIP Electricity"", ""short_title"": ""Internal line Dunowo-Żydowo Kierzkowo (PL) "", ""full_title"": ""Internal line between Dunowo and Żydowo Kierzkowo (PL)"", ""description"": ""<p style=\""text-align:justify\"">The Dunowo-Żydowo Kierzkowo 400 kV line is interrelated with the project aiming to build the Piła Krzewina-Żydowo&nbsp;Kierzkowo line.<\/p>\n\n<p style=\""text-align:justify\"">The Dunowo-Żydowo Kierzkowo 400 kV project includes:<\/p>\n\n<p style=\""text-align:justify\"">-The reconstruction of Dunowo electrical station with installation of 400\/110 kV transformers and,<\/p>\n\n<p style=\""text-align:justify\"">-The construction of new double-circuit 400 kV line.<\/p>\n\n<p style=\""text-align:justify\"">The lines Dunowo-Żydowo Kierzkowo 400 kV and Piła Krzewina-Żydowo&nbsp;Kierzkowo 400 kV will be connected to each other.<\/p>\n"", ""countries"": ""PL"", ""promoters"": ""PSE S.A. (PL) "", ""project_sheet"": ""https:\/\/ec.europa.eu\/assets\/cinea\/project_fiches\/cef\/cef_energy\/4.8.10-0005-LVEE-W-M-20.pdf"", ""studies_works"": ""Works"", ""object_id"": ""2561"", ""layer_name"": ""Electricity line"", ""geometry_type"": ""esriGeometryPolyline"" }",16.093764464185405,54.12457010915432,16.09435442196846,54.12564226628444,2.0,Al/St 490/64 4-bundle 380.0
PCI-3.3.11-04,in_permitting,52.0,2026,False,400,"{ ""pci_code"": ""3.3.11"", ""corridor"": ""BEMIP Electricity"", ""short_title"": ""Internal line Dunowo-Żydowo Kierzkowo (PL) "", ""full_title"": ""Internal line between Dunowo and Żydowo Kierzkowo (PL)"", ""description"": ""<p style=\""text-align:justify\"">The Dunowo-Żydowo Kierzkowo 400 kV line is interrelated with the project aiming to build the Piła Krzewina-Żydowo&nbsp;Kierzkowo line.<\/p>\n\n<p style=\""text-align:justify\"">The Dunowo-Żydowo Kierzkowo 400 kV project includes:<\/p>\n\n<p style=\""text-align:justify\"">-The reconstruction of Dunowo electrical station with installation of 400\/110 kV transformers and,<\/p>\n\n<p style=\""text-align:justify\"">-The construction of new double-circuit 400 kV line.<\/p>\n\n<p style=\""text-align:justify\"">The lines Dunowo-Żydowo Kierzkowo 400 kV and Piła Krzewina-Żydowo&nbsp;Kierzkowo 400 kV will be connected to each other.<\/p>\n"", ""countries"": ""PL"", ""promoters"": ""PSE S.A. (PL) "", ""project_sheet"": ""https:\/\/ec.europa.eu\/assets\/cinea\/project_fiches\/cef\/cef_energy\/4.8.10-0005-LVEE-W-M-20.pdf"", ""studies_works"": ""Works"", ""object_id"": ""2561"", ""layer_name"": ""Electricity line"", ""geometry_type"": ""esriGeometryPolyline"" }",16.70976687231126,54.016205840392985,16.093764464185405,54.12457010915432,2.0,Al/St 490/64 4-bundle 380.0
PCI-2.1.4-04,in_permitting,44.1,2030,False,380,"{ ""pci_code"": ""2.1.4"", ""corridor"": ""NSI East Electricity"", ""short_title"": "" Pleinting (DE) – St.Peter (AT)"", ""full_title"": ""Interconnector between Pleinting (DE) – St.Peter (AT)"", ""description"": ""<p style=\""text-align:justify\"">This project with a&nbsp;length of around&nbsp;70 km consists in a new 380kV line between St. Peter (Austria) and Pleinting (Germany), which will increase&nbsp; the cross border transmission capacity between the two countries. The entire project is divided into two sections, section 1 &ldquo;Pirach-Tann&rdquo; with a length of approximately 25 km and section 2 &ldquo;St.Peter (Prienbach)-Pleinting&rdquo; with approximately 45 km. The corresponding substations are located in Pleinting , Simbach and Pirach.<\/p>\n"", ""countries"": ""AT, DE"", ""promoters"": ""TenneT (DE) ; Austrian Power Grid AG (AT)"", ""project_sheet"": ""Null"", ""studies_works"": ""Null"", ""object_id"": ""3873"", ""layer_name"": ""Electricity line"", ""geometry_type"": ""esriGeometryPolyline"" }",13.105060175034067,48.663140734237864,13.063862094021315,48.293892225800214,1.0,Al/St 490/64 4-bundle 380.0
PCI-2.1.4-05,in_permitting,0.2,2030,False,380,"{ ""pci_code"": ""2.1.4"", ""corridor"": ""NSI East Electricity"", ""short_title"": "" Pleinting (DE) – St.Peter (AT)"", ""full_title"": ""Interconnector between Pleinting (DE) – St.Peter (AT)"", ""description"": ""<p style=\""text-align:justify\"">This project with a&nbsp;length of around&nbsp;70 km consists in a new 380kV line between St. Peter (Austria) and Pleinting (Germany), which will increase&nbsp; the cross border transmission capacity between the two countries. The entire project is divided into two sections, section 1 &ldquo;Pirach-Tann&rdquo; with a length of approximately 25 km and section 2 &ldquo;St.Peter (Prienbach)-Pleinting&rdquo; with approximately 45 km. The corresponding substations are located in Pleinting , Simbach and Pirach.<\/p>\n"", ""countries"": ""AT, DE"", ""promoters"": ""TenneT (DE) ; Austrian Power Grid AG (AT)"", ""project_sheet"": ""Null"", ""studies_works"": ""Null"", ""object_id"": ""3873"", ""layer_name"": ""Electricity line"", ""geometry_type"": ""esriGeometryPolyline"" }",13.106050849705797,48.665174887195164,13.105060175034067,48.663140734237864,1.0,Al/St 490/64 4-bundle 380.0
PCI-2.1.4-06,in_permitting,0.2,2030,False,380,"{ ""pci_code"": ""2.1.4"", ""corridor"": ""NSI East Electricity"", ""short_title"": "" Pleinting (DE) – St.Peter (AT)"", ""full_title"": ""Interconnector between Pleinting (DE) – St.Peter (AT)"", ""description"": ""<p style=\""text-align:justify\"">This project with a&nbsp;length of around&nbsp;70 km consists in a new 380kV line between St. Peter (Austria) and Pleinting (Germany), which will increase&nbsp; the cross border transmission capacity between the two countries. The entire project is divided into two sections, section 1 &ldquo;Pirach-Tann&rdquo; with a length of approximately 25 km and section 2 &ldquo;St.Peter (Prienbach)-Pleinting&rdquo; with approximately 45 km. The corresponding substations are located in Pleinting , Simbach and Pirach.<\/p>\n"", ""countries"": ""AT, DE"", ""promoters"": ""TenneT (DE) ; Austrian Power Grid AG (AT)"", ""project_sheet"": ""Null"", ""studies_works"": ""Null"", ""object_id"": ""3873"", ""layer_name"": ""Electricity line"", ""geometry_type"": ""esriGeometryPolyline"" }",13.105850028629105,48.66527474773725,13.105060175034067,48.663140734237864,1.0,Al/St 490/64 4-bundle 380.0
